average_metric_vl,sd_metric_vl,average_metric_tr,network_topology
1.1493404022,0.0486314485,"10    0.785971
11    1.168226
dtype: float64","{'layer_sizes': (40, 40, 2), 'act_hidden': 'tanh', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.01, 'ALPHA': 0, 'momentum_window': 40, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0}, 'variable_eta': {'eta_tau': 0.001, 'tau': 200, 'eta': 0.01, 'step': 200}}, 'minibatch_size': 32, 'epochs': 500, 'input_size': 10}"
1.4438308977,0.1442202423,"10    1.316297
11    1.526326
dtype: float64","{'layer_sizes': (40, 40, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.01, 'ALPHA': 0.1, 'momentum_window': 40, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0}, 'variable_eta': {'eta_tau': 0.001, 'tau': 200, 'eta': 0.01, 'step': 200}}, 'minibatch_size': 32, 'epochs': 500, 'input_size': 10}"
1.5604948655,0.124669425,"10    1.707887
11    1.558425
dtype: float64","{'layer_sizes': (40, 40, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.01, 'ALPHA': 0, 'momentum_window': 40, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0}, 'variable_eta': {'eta_tau': 0.001, 'tau': 200, 'eta': 0.01, 'step': 200}}, 'minibatch_size': 32, 'epochs': 500, 'input_size': 10}"
1.5770504394,0.1016172391,"10    1.649983
11    1.757912
dtype: float64","{'layer_sizes': (40, 40, 2), 'act_hidden': 'tanh', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.1, 'ALPHA': 0, 'momentum_window': 40, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}, 'variable_eta': {'eta_tau': 0.001, 'tau': 200, 'eta': 0.1, 'step': 200}}, 'minibatch_size': 32, 'epochs': 500, 'input_size': 10}"
1.5921570946,0.1299385026,"10    1.664597
11    1.813674
dtype: float64","{'layer_sizes': (40, 40, 2), 'act_hidden': 'tanh', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.01, 'ALPHA': 0, 'momentum_window': 40, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}, 'variable_eta': {'eta_tau': 0.001, 'tau': 200, 'eta': 0.01, 'step': 200}}, 'minibatch_size': 32, 'epochs': 500, 'input_size': 10}"
1.6785724667,0.1806467901,"10    2.001778
11    1.653784
dtype: float64","{'layer_sizes': (40, 40, 2), 'act_hidden': 'tanh', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.01, 'ALPHA': 0.1, 'momentum_window': 40, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}, 'variable_eta': {'eta_tau': 0.001, 'tau': 200, 'eta': 0.01, 'step': 200}}, 'minibatch_size': 32, 'epochs': 500, 'input_size': 10}"
1.7232725888,0.198853558,"10    1.940123
11    1.875514
dtype: float64","{'layer_sizes': (40, 40, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.01, 'ALPHA': 0.2, 'momentum_window': 40, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0}, 'variable_eta': {'eta_tau': 0.001, 'tau': 200, 'eta': 0.01, 'step': 200}}, 'minibatch_size': 32, 'epochs': 500, 'input_size': 10}"
2.1551199966,0.2177589735,"10    3.794899
11    2.163339
dtype: float64","{'layer_sizes': (40, 40, 2), 'act_hidden': 'tanh', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.01, 'ALPHA': 0.4, 'momentum_window': 40, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.001}, 'variable_eta': {'eta_tau': 0.001, 'tau': 200, 'eta': 0.01, 'step': 200}}, 'minibatch_size': 32, 'epochs': 500, 'input_size': 10}"
2.6036476296,0.2881697581,"10    5.313794
11    3.005205
dtype: float64","{'layer_sizes': (40, 40, 2), 'act_hidden': 'tanh', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.01, 'ALPHA': 0.6, 'momentum_window': 40, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.001}, 'variable_eta': {'eta_tau': 0.001, 'tau': 200, 'eta': 0.01, 'step': 200}}, 'minibatch_size': 32, 'epochs': 500, 'input_size': 10}"
2.6318270627,0.5098298232,"10    5.119534
11    3.639083
dtype: float64","{'layer_sizes': (40, 40, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.01, 'ALPHA': 0.2, 'momentum_window': 40, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}, 'variable_eta': {'eta_tau': 0.001, 'tau': 200, 'eta': 0.01, 'step': 200}}, 'minibatch_size': 32, 'epochs': 500, 'input_size': 10}"
