average_accuracy_vl,sd_accuracy_vl,average_tr_error_best_vl,network_topology,activation_hidden,weight_init,regularization,momentum,learning_rate
1.197373429,0.0507250876,1.1011800589,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-07}}, 'batch_size': 64, 'epochs': 500, 'input_size': 10}",,,,,
1.1987993044,0.0486312608,1.0951118754,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-06}}, 'batch_size': 64, 'epochs': 500, 'input_size': 10}",,,,,
1.1994362453,0.0478160452,1.0894581793,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-07}}, 'batch_size': 32, 'epochs': 500, 'input_size': 10}",,,,,
1.1997031351,0.0567873821,1.1065382969,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 16, 'epochs': 500, 'input_size': 10}",,,,,
1.2008977661,0.0487442324,1.1049548296,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 500, 'input_size': 10}",,,,,
1.20182091,0.0525749695,1.0989660455,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 16, 'epochs': 500, 'input_size': 10}",,,,,
1.2026289932,0.050438648,1.1117464046,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-07}}, 'batch_size': 16, 'epochs': 500, 'input_size': 10}",,,,,
1.2032786222,0.0553068899,1.0974302101,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 16, 'epochs': 500, 'input_size': 10}",,,,,
1.2067277233,0.0609539903,1.1054977514,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-06}}, 'batch_size': 16, 'epochs': 500, 'input_size': 10}",,,,,
1.2069202057,0.0592911457,1.0975310758,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 500, 'input_size': 10}",,,,,
1.207199251,0.0467869568,1.1089333852,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-07}}, 'batch_size': 32, 'epochs': 500, 'input_size': 10}",,,,,
1.2079993403,0.0530828731,1.1043710255,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-06}}, 'batch_size': 32, 'epochs': 500, 'input_size': 10}",,,,,
1.2088973015,0.0524006517,1.1190291711,"{'layer_sizes': (30, 30, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-07}}, 'batch_size': 32, 'epochs': 500, 'input_size': 10}",,,,,
