average_accuracy_vl,sd_accuracy_vl,average_tr_error_best_vl,network_topology,activation_hidden,weight_init,regularization,momentum,learning_rate
1.1368680027,0.0566795568,0.9828995155,"{'layer_sizes': (37, 37, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 1000, 'input_size': 10}",,,,,
1.1371815394,0.0521871625,0.9940708143,"{'layer_sizes': (35, 35, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 1000, 'input_size': 10}",,,,,
1.1377970123,0.0571253698,0.9857864099,"{'layer_sizes': (37, 37, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 16, 'epochs': 1000, 'input_size': 10}",,,,,
1.1378359711,0.0513115045,0.9840864169,"{'layer_sizes': (35, 35, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1000, 'input_size': 10}",,,,,
1.1387665224,0.0626484595,0.9967564564,"{'layer_sizes': (37, 37, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1000, 'input_size': 10}",,,,,
1.1398298807,0.0420426494,0.9995102471,"{'layer_sizes': (41, 41, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 64, 'epochs': 1000, 'input_size': 10}",,,,,
1.1433311504,0.0623495102,1.0068324173,"{'layer_sizes': (35, 35, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 64, 'epochs': 1000, 'input_size': 10}",,,,,
1.1434273755,0.0510582256,0.9929975071,"{'layer_sizes': (35, 35, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1000, 'input_size': 10}",,,,,
1.1443264739,0.0618553959,1.0103476591,"{'layer_sizes': (35, 35, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1000, 'input_size': 10}",,,,,
1.1447052364,0.0535021778,0.9960811775,"{'layer_sizes': (37, 37, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'xavier', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 16, 'epochs': 1000, 'input_size': 10}",,,,,
